YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
6,1,5,4,2,0,1,1,6,2,0,0,5,1,1,2,4,3,2,1,5,3,3,4,3,2,4,8,2,2,2,0,2,1,0,0,1,6,0,1,6,3,1,7,3,0,0,29,0,7,4,1,0,0,1,1,1,1,2,3,22.333333333333332,0,47500,0,3483,2312,2312,18628,0.53
2,3,5,2,1,0,0,0,1,4,0,0,7,0,0,1,4,3,22,0,2,3,3,1,2,1,8,8,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,2.5,0,7,3,0,0,1,0,0,0,1,2,1,68,1,22500,0,784,588,588,2624,0.44
4,1,5,3,2,0,1,1,16,4,1,0,10,1,1,1,3,5,17,1,8,3,3,2,2,1,8,8,0,0,0,0,0,0,0,0,1,7,0,1,7,3,0,3,1,0,0,17,0,12,4,0,0,1,1,1,0,1,3,2,77,1,27500,0,1972,1572,1572,13292,0.41
1,7,6,4,2,0,0,0,6,1,0,1,7,0,1,1,5,4,7,0,5,7,2,2,3,2,2,4,3,2,5,1,2,1,0,0,1,7,0,0,0,0,0,5,2,1,0,37,0,12,4,1,0,0,0,0,1,1,6,4,31,0,130000,0,1952,1474,1263,6729,0.62
7,3,5,3,3,0,1,1,16,3,1,0,10,1,1,2,4,4,2,1,8,7,3,3,3,2,4,4,2,2,1,0,6,1,0,0,0,7,1,0,0,0,0,5,3,0,0,39.5,1,12,4,1,0,0,0,1,0,1,5,2,76.5,1,110000,0,6360,2992,0,15929,0.39
4,5,5,4,2,0,1,0,1,3,0,1,7,0,1,2,4,4,3,0,0,13,3,4,2,1,4,8,2,2,5,0,2,1,0,0,1,8,0,0,0,0,0,5,3,1,0,67.5,1,7,3,1,0,0,0,0,1,1,2,4,50.25,1,92500,0,5378,3218,1207,10453,0.56
4,1,5,1,1,0,0,1,3,4,0,0,18,1,1,1,4,3,7,0,0,0,0,1,2,2,4,4,1,2,0,0,2,1,0,0,0,3,0,1,3,3,0,0,0,0,0,10.5,0,7,3,0,0,1,1,1,1,1,4,2,25,0,47500,0,967,967,967,5852,0.53
6,3,0,1,1,0,0,1,0,3,0,1,0,0,1,1,1,3,2,0,3,1,3,2,3,2,8,8,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0,0,0,0,0,35.5,0,4,4,1,0,0,0,0,0,1,5,1,76,1,72500,0,1009,1009,1009,4501,0.55
6,7,2,3,2,1,1,1,16,3,0,1,18,1,0,1,4,3,2,0,1,3,3,2,2,1,8,8,2,10,8,0,2,1,1,0,0,5,0,1,5,3,1,0,0,0,0,13,0,4,3,0,0,1,1,1,1,4,5,2,28,0,27500,0,2085,1835,1835,10114,0.36
5,6,5,3,2,1,1,1,3,4,1,1,5,1,0,2,5,4,3,0,3,3,3,3,2,2,4,4,0,0,0,0,0,0,0,0,0,7,0,1,7,3,1,6,3,1,0,44.5,1,18,3,0,0,1,1,1,0,1,8,1,81,1,97500,0,3258,2858,2858,8537,0.44
