YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
3,3,5,3,1,0,0,1,16,4,0,0,10,1,1,1,4,3,3,1,0,13,3,3,3,2,8,8,1,2,0,0,2,1,0,0,0,6,1,0,6,3,1,1,2,0,0,49,0,12,3,1,0,0,0,1,1,1,2,5,15,0,17500,1,975,975,975,7330,0.53
6,1,5,5,3,1,1,0,6,3,0,0,7,1,1,2,3,5,2,0,3,7,3,5,3,2,4,4,2,5,2,0,2,1,0,0,0,10,0,0,10,3,1,8,3,1,1,85,0,22,2,1,0,0,0,1,1,1,5,6,34.166666666666664,0,130000,0,3888,3488,3488,26768,0.52
2,3,3,2,1,0,0,1,6,4,0,1,5,1,1,1,4,4,3,1,1,7,3,3,1,1,8,8,1,2,0,0,2,1,0,0,1,6,0,1,0,0,0,6,3,0,0,37,0,7,2,1,0,1,1,1,2,1,3,3,36,1,22500,1,987,987,658,13488,0.39
5,2,6,3,2,0,0,1,6,2,1,0,7,1,0,1,4,3,7,1,0,3,3,2,3,2,2,2,1,1,0,0,2,0,1,0,0,7,0,1,7,3,1,4,2,0,0,13,0,22,4,0,0,1,1,1,0,1,2,2,82.5,1,3750,1,1400,1400,1400,14761,0.52
1,3,5,4,1,1,1,1,6,3,1,0,7,1,1,1,4,3,7,1,2,7,3,2,1,1,12,1,1,2,0,0,0,1,0,0,0,10,0,1,10,3,0,0,0,0,0,0,0,18,3,0,0,1,1,1,0,1,3,3,35,1,57500,0,2585,2185,2185,44030,0.68
4,2,2,3,1,1,0,1,6,2,0,0,7,1,1,1,4,3,2,1,3,3,3,2,2,1,2,2,1,1,0,0,0,1,1,0,0,3,0,1,0,0,0,2,1,1,0,2.5,1,18,3,0,0,1,1,1,0,1,2,2,59.5,0,32500,0,2730,1820,303,23506,0.61
1,3,5,2,1,0,0,1,1,4,0,1,10,1,1,1,1,3,7,0,0,7,1,3,3,3,4,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,2,3,1,0,0,0,1,0,1,1,3,29.333333333333332,0,3750,1,3010,1505,752,5869,0.49
4,1,5,3,2,0,0,1,6,3,1,1,10,1,1,1,4,3,3,1,1,3,3,5,3,4,12,12,1,5,0,0,6,1,0,0,1,6,0,1,6,3,0,5,3,0,0,2.5,0,18,4,0,0,1,1,1,0,2,3,2,37,0,32500,0,1728,1728,1728,18107,0.51
3,3,6,3,3,0,1,0,3,1,1,1,1,1,1,1,3,4,7,0,8,1,3,2,3,2,2,4,0,0,0,0,2,0,0,0,1,6,0,1,0,0,0,1,1,0,0,45,0,12,4,0,0,1,1,1,0,1,3,2,84,1,47500,0,2526,2276,0,17126,0.49
2,4,5,3,1,0,1,0,1,3,0,0,7,0,0,1,4,3,3,0,0,3,3,4,2,1,12,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,4,1,0,0,7.5,0,7,2,1,0,0,0,0,2,1,2,4,37,0,22500,1,1537,515,0,5273,0.43
1,4,2,4,1,1,0,0,1,1,0,1,1,0,1,2,1,4,3,0,0,3,3,3,2,1,8,8,1,1,0,0,0,1,0,0,0,7,0,1,0,0,0,1,1,0,0,7.5,0,22,3,1,0,0,1,0,0,2,3,4,34.25,1,17500,1,3588,2392,683,6881,0.59
5,4,1,5,2,3,1,0,0,4,1,0,7,1,1,2,3,5,2,0,2,1,3,2,2,1,2,2,4,10,2,2,2,1,0,0,1,0,0,0,0,0,0,5,2,0,0,18,1,22,3,1,1,0,0,1,1,1,8,2,57.5,0,130000,0,7568,0,0,9799,0.38
3,7,2,3,2,0,1,1,1,2,0,0,5,1,0,1,3,3,7,0,0,0,0,2,2,1,8,8,0,0,0,0,0,0,0,0,0,6,0,1,6,2,0,2,2,0,0,37,1,12,3,0,0,1,1,1,2,2,2,12,27.416666666666668,0,42500,1,1750,1500,1500,94,0.38
5,2,6,3,2,0,0,1,6,1,1,0,5,1,1,1,1,3,17,0,2,7,3,3,3,2,4,4,2,2,1,0,2,1,0,0,1,5,1,1,0,0,0,1,3,1,0,10.5,1,22,2,0,0,1,1,1,1,1,4,3,28,0,47500,0,1177,1177,471,17559,0.62
2,3,6,2,1,1,1,1,1,3,1,0,7,1,1,1,4,4,7,1,3,3,2,2,2,1,4,4,0,0,0,0,0,0,1,0,0,7,1,0,7,1,1,2,2,0,0,2.5,1,12,4,0,0,0,0,1,0,1,2,2,81.5,1,27500,0,2523,1577,1577,3545,0.51
5,1,5,3,1,0,0,1,9,3,1,1,10,1,1,1,4,3,3,1,0,7,0,3,3,1,8,8,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,2.5,0,7,3,0,0,1,1,1,1,1,2,6,24.166666666666668,0,52500,0,1216,1216,730,20203,0.45
1,1,0,3,2,1,0,0,3,1,0,0,7,0,0,1,4,3,7,0,1,7,3,2,3,2,1,1,1,5,0,0,6,1,0,0,1,5,0,0,0,0,0,0,0,0,0,22.5,0,12,4,1,0,0,0,0,1,1,6,2,78.5,1,130000,0,1937,1937,1550,5012,0.62
5,1,5,4,3,1,1,0,9,3,1,0,7,1,0,1,3,4,2,0,2,3,3,3,3,2,2,4,4,10,10,10,2,1,0,0,1,6,0,0,6,3,1,3,2,1,0,30,1,22,3,1,0,0,0,1,1,1,5,2,33.5,0,130000,0,5305,3033,3033,9727,0.43
6,2,5,4,2,1,1,0,6,3,1,0,5,0,1,2,3,5,2,1,5,13,3,5,3,2,12,12,4,10,10,1,6,1,0,0,1,7,0,0,0,0,0,1,1,0,0,25,1,22,4,1,0,0,0,0,1,1,5,3,45.666666666666664,1,130000,0,3954,3554,0,8903,0.55
4,3,5,3,2,0,1,1,6,4,1,0,7,1,1,2,1,4,22,0,3,3,3,5,3,1,8,8,2,5,1,0,6,1,1,0,0,7,1,1,0,0,0,1,2,1,0,125,1,18,3,0,0,0,1,1,0,1,3,2,62,1,62500,0,2201,1801,0,10306,0.45
4,3,6,3,2,0,0,1,9,2,0,1,7,1,1,2,3,4,7,2,5,7,2,4,3,1,2,2,3,5,2,2,6,1,1,0,1,8,1,1,8,1,1,5,3,1,1,30.5,1,12,3,0,0,0,1,1,0,1,5,2,69,1,62500,0,2304,2304,1440,14885,0.59
1,3,5,3,1,1,0,1,9,3,1,1,7,1,1,1,4,4,2,0,3,3,3,1,2,1,2,2,1,2,0,0,0,1,1,0,0,4,1,1,0,0,0,0,0,1,0,2.5,0,12,4,0,0,1,1,1,1,1,5,1,61,0,47500,0,3133,1459,0,17527,0.6
1,3,5,1,1,0,0,0,6,3,1,1,5,0,1,1,4,4,7,0,0,7,3,1,2,1,8,8,1,2,0,0,2,1,0,0,1,3,1,0,0,0,0,0,0,1,0,35.5,0,7,3,1,0,1,0,0,1,1,3,1,40,0,22500,0,1012,1012,215,6360,0.65
6,7,5,3,2,0,1,0,16,0,0,1,10,0,1,1,3,4,12,0,3,3,3,2,3,1,4,4,1,2,0,0,2,1,0,0,0,5,0,1,5,3,1,2,1,1,0,24,1,7,3,1,0,1,1,0,1,1,3,3,35.666666666666664,0,67500,0,2880,2480,2480,4936,0.39
7,3,6,3,2,1,1,0,1,4,0,1,7,0,1,1,3,4,7,0,3,3,3,3,3,3,8,8,2,10,5,0,2,1,0,0,1,5,1,0,5,3,0,1,1,0,0,26.5,0,12,2,1,0,0,0,0,0,1,5,3,24.333333333333332,1,130000,0,2790,2390,2390,12611,0.56
5,1,0,1,1,0,0,1,6,4,0,1,5,1,0,1,1,3,12,0,1,0,0,2,2,2,4,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10.5,0,4,3,1,0,1,0,1,0,2,3,1,62,0,12500,1,674,674,0,3512,0.61
1,2,3,1,1,0,0,1,16,0,0,1,3,1,0,1,4,3,17,0,0,3,3,1,3,2,2,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,5,3,1,0,2.5,0,7,4,0,0,0,1,1,1,1,3,1,32,0,42500,0,512,0,342,4131,0.5
6,2,5,2,2,0,0,1,9,0,0,0,10,1,1,1,4,3,7,0,8,0,0,1,2,2,1,1,2,5,2,0,0,1,0,0,0,4,0,1,0,0,0,2,1,1,0,10.5,0,7,3,0,0,1,1,1,1,6,6,2,33.5,0,22500,0,1012,1012,0,9474,0.45
1,3,0,3,1,0,0,0,6,3,0,1,7,0,0,1,1,3,7,0,0,0,0,3,2,1,4,4,2,10,1,0,6,1,0,1,1,3,0,0,0,0,0,0,0,0,0,68,0,12,2,1,0,1,0,0,1,1,3,4,16.5,0,42500,0,1659,996,664,6768,0.54
4,3,3,2,2,0,0,1,6,4,0,1,7,1,1,1,1,3,3,0,1,3,3,3,3,3,12,12,0,0,0,0,0,0,0,0,0,4,0,1,4,3,0,0,0,1,0,2.5,1,7,3,0,0,1,1,1,0,1,1,3,67,1,8750,1,1056,1056,1056,12742,0.38
4,4,1,5,2,0,1,0,6,2,0,0,5,0,1,2,4,4,12,0,3,7,2,3,2,1,8,8,1,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,36.5,1,12,3,1,0,0,0,0,0,1,3,3,53.666666666666664,1,130000,0,2854,2454,0,3973,0.44
5,2,3,3,2,0,1,0,6,2,0,0,7,0,1,2,3,4,7,1,3,3,3,3,3,2,4,4,2,5,1,0,2,1,1,0,1,8,0,0,0,0,0,0,0,0,0,50.5,1,7,3,1,0,0,0,0,1,1,3,3,32,0,87500,0,2436,2036,509,8267,0.57
1,2,5,7,4,0,0,0,16,2,1,1,18,0,1,2,3,4,2,0,1,13,3,4,2,1,4,12,2,2,2,0,2,1,0,0,0,9,0,0,0,0,0,3,1,0,0,13,0,18,2,1,0,1,0,0,0,1,2,7,25.142857142857142,1,67500,0,6633,5829,1206,12663,0.67
6,3,5,3,2,0,1,1,16,3,0,1,7,1,0,1,3,4,12,0,1,3,2,1,3,2,2,4,1,5,0,0,0,1,0,0,0,5,0,1,7,3,1,3,3,1,0,18,1,12,4,0,0,1,1,1,1,1,6,1,44,0,87500,0,2362,1401,1962,13927,0.41
6,4,5,4,4,1,1,0,6,2,0,1,5,1,0,3,3,4,12,0,3,7,3,10,3,2,2,2,2,5,2,0,2,1,0,0,1,13,0,0,13,3,1,5,2,0,0,12.5,1,22,4,1,0,0,0,1,1,1,5,3,33.333333333333336,0,130000,0,8844,8194,8194,21092,0.49
4,7,5,4,2,1,1,1,3,2,1,1,18,1,0,2,3,3,12,0,1,1,3,1,2,1,2,2,1,2,0,0,2,1,0,0,1,7,0,0,7,2,0,1,0,1,0,31.5,1,7,3,1,0,0,0,1,1,4,3,1,48,0,62500,0,2240,1840,1840,3768,0.52
4,4,0,2,1,0,0,0,6,2,0,1,5,0,1,2,4,4,7,0,2,0,0,2,3,4,4,4,2,2,2,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,50.5,1,4,4,1,0,1,0,0,1,1,3,2,35,0,67500,0,907,680,453,8128,0.39
5,4,0,2,2,0,0,1,1,2,0,0,10,1,0,2,3,3,2,0,3,0,0,1,3,2,4,4,2,5,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,4,4,0,0,0,1,1,1,4,5,4,31.75,0,32500,1,940,0,0,6395,0.34
7,3,5,3,1,1,0,1,6,2,0,0,7,1,1,2,4,4,7,0,5,3,3,2,3,2,2,4,3,2,5,1,6,1,0,0,0,6,0,0,6,3,0,1,1,1,0,10.5,0,12,4,1,0,0,0,1,2,1,5,2,76.5,1,6250,1,1200,1200,1200,9970,0.43
3,4,0,1,1,0,0,0,6,4,0,1,5,0,0,1,4,4,2,0,3,1,3,2,2,1,1,1,2,10,8,0,2,1,0,0,1,3,0,0,0,0,0,2,2,0,0,139.5,0,7,2,1,0,1,0,0,1,1,2,1,36,0,27500,0,479,479,160,7476,0.4
1,2,5,3,2,1,1,0,9,3,1,0,10,0,1,2,3,3,7,1,5,7,2,1,2,1,1,2,3,5,5,5,6,1,1,0,1,7,0,0,7,1,1,3,2,0,1,130,1,22,3,0,0,0,0,0,1,1,5,4,28.75,0,110000,0,2564,1802,1802,9213,0.54
8,4,1,4,4,1,1,0,1,4,0,1,1,0,1,2,3,4,3,1,3,3,3,4,3,2,8,8,8,8,8,5,6,1,0,0,1,7,0,0,7,1,1,2,3,0,1,31.5,0,30,4,1,0,1,0,1,1,6,3,3,43.333333333333336,0,130000,0,5460,4810,4810,12637,0.4
1,2,5,2,1,0,0,0,6,4,0,1,10,0,1,2,3,4,2,1,8,16,3,3,3,2,12,12,1,1,0,0,10,1,1,1,1,6,1,0,0,0,0,3,2,1,0,23.5,1,12,4,1,0,0,0,0,0,1,2,3,46,0,57500,0,1800,1800,1350,12887,0.55
7,1,5,3,2,0,1,1,9,1,0,0,5,1,0,1,1,3,3,0,5,7,3,3,3,2,4,8,3,10,2,10,2,1,0,0,0,5,0,0,5,3,0,2,1,0,0,37,0,12,4,1,0,1,0,1,1,2,6,2,36.5,0,130000,0,2137,1737,1737,12568,0.46
2,7,7,3,2,0,1,1,16,1,0,0,10,1,0,2,3,4,12,0,0,7,2,3,3,2,4,4,4,10,10,1,2,1,1,0,1,6,0,1,6,3,0,0,0,1,0,47,0,12,3,0,0,1,1,1,1,1,3,3,48.333333333333336,1,32500,0,2714,2464,2464,32553,0.39
1,2,6,4,3,0,1,1,6,1,0,0,7,1,1,2,4,3,22,0,2,3,3,4,1,2,2,2,2,5,2,0,2,1,0,0,0,8,0,0,0,0,0,0,0,1,0,10,0,30,2,1,0,0,0,1,1,1,3,2,72,1,97500,0,3376,2066,0,4397,0.58
5,3,5,4,2,1,1,0,3,3,0,1,7,0,0,2,4,4,7,0,3,3,3,6,2,1,8,8,2,8,5,0,2,1,0,0,1,8,0,1,8,2,0,4,2,0,0,22.5,0,12,4,1,0,0,1,0,1,1,7,5,42.4,0,97500,0,2400,2150,2150,17128,0.54
5,9,5,3,2,0,1,0,1,2,1,1,5,0,0,1,5,4,12,0,1,3,3,1,2,1,1,2,2,5,1,0,6,1,0,0,1,4,0,0,4,3,1,2,1,1,0,29,1,12,4,1,0,1,0,0,1,1,8,2,58.5,0,62500,0,2208,1605,1205,5326,0.45
4,3,5,1,1,0,0,1,9,0,0,1,10,1,1,1,4,3,3,0,0,0,0,1,2,1,1,4,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,10,0,4,4,0,0,1,1,1,0,1,3,1,64,1,8750,1,568,568,189,5799,0.51
3,1,5,2,1,1,0,0,16,3,0,1,7,0,1,1,4,3,7,0,2,3,3,3,2,1,2,2,1,1,0,0,0,1,0,0,1,4,1,0,4,3,0,1,2,0,0,0,1,4,3,1,0,0,0,0,1,1,4,3,32,0,57500,0,1496,1010,1010,5497,0.57
4,3,5,2,1,0,0,0,9,3,0,0,7,0,1,1,3,3,22,0,5,7,3,3,1,1,12,12,1,8,0,0,2,1,0,0,0,4,0,1,4,1,0,1,3,0,0,2.5,0,12,4,1,0,0,1,0,0,1,2,2,54.5,0,62500,0,1750,875,875,9140,0.56
8,2,5,3,2,0,0,1,16,2,0,0,7,1,1,1,3,3,3,0,3,3,3,4,2,1,4,4,0,0,0,0,0,0,0,0,1,6,0,1,6,1,0,5,2,1,0,5,1,7,4,0,0,1,1,1,1,1,2,2,60.5,1,77500,0,1431,1431,1431,12079,0.5
3,1,5,3,2,0,1,1,9,3,1,1,1,1,1,1,3,4,7,1,8,7,3,2,2,1,4,8,1,2,0,0,2,1,0,0,1,6,0,0,6,3,1,5,3,1,0,94.5,0,12,3,1,0,0,0,1,1,1,3,2,44.5,0,110000,0,1991,1591,1591,17059,0.52
1,2,6,2,1,0,0,1,16,2,0,0,10,1,1,1,4,3,22,1,0,7,2,3,2,2,12,12,1,1,0,0,2,1,0,0,0,4,0,1,0,0,0,1,1,1,0,23.5,0,7,2,1,0,1,1,1,0,1,1,3,53,0,8750,1,864,864,0,12504,0.44
8,2,5,3,2,0,1,1,9,3,1,0,1,1,1,1,3,4,3,1,1,3,3,1,3,2,12,12,0,0,0,0,0,0,0,0,0,6,0,1,6,3,0,3,3,0,0,32,0,12,4,1,0,0,1,1,0,1,5,2,84,1,47500,0,2400,2000,2000,14523,0.44
5,1,0,1,1,0,0,1,9,2,1,0,18,1,0,1,4,2,7,0,0,0,0,1,2,1,2,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,93,0,4,4,0,0,1,1,1,0,1,1,1,85,1,8750,1,600,600,200,7864,0.53
4,1,5,3,2,0,1,0,1,3,0,1,7,0,1,1,3,4,22,0,1,13,3,2,3,4,4,8,1,2,0,0,2,1,0,0,0,8,0,0,8,3,0,6,2,1,0,21,0,7,3,1,0,0,0,0,1,1,4,2,60,0,92500,0,1968,1568,1568,7150,0.53
4,3,0,1,1,0,0,0,1,4,1,0,7,0,0,1,4,3,22,0,0,0,0,1,2,1,8,12,1,10,0,0,2,0,0,0,1,4,0,0,0,0,0,1,1,0,0,8,0,2,2,1,0,0,0,0,0,1,2,1,45,0,27500,0,731,731,0,3296,0.47
4,3,5,3,1,1,0,1,16,2,1,1,18,1,1,1,4,4,12,0,5,7,3,5,2,3,4,4,1,2,0,0,2,1,0,0,0,6,1,1,6,3,1,5,3,0,0,16,1,12,4,0,0,1,1,1,0,1,2,2,81,1,37500,0,1012,1012,1012,21438,0.46
5,3,6,3,2,0,1,1,3,2,1,1,5,1,0,2,4,3,12,1,1,3,3,4,2,1,8,8,1,2,0,0,2,1,0,0,0,5,0,1,5,3,1,5,2,1,0,8,0,12,3,1,0,1,1,1,1,2,2,3,38.333333333333336,0,67500,0,2100,1850,1850,13398,0.51
7,4,1,3,2,0,1,1,1,1,0,0,7,1,0,2,3,3,7,0,1,1,3,1,3,3,1,2,1,1,0,0,0,1,0,0,0,4,0,1,4,1,0,4,1,0,0,5,1,0,4,0,0,1,1,1,1,1,2,2,57.5,0,82500,0,2002,1602,1602,17421,0.36
3,2,5,3,1,1,1,1,9,2,0,0,10,1,1,1,3,3,3,0,3,3,3,2,1,1,2,2,3,8,2,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,7.5,1,7,3,1,0,0,0,1,1,1,3,3,33,0,37500,0,1516,1116,0,5123,0.5
8,4,5,4,2,1,1,0,9,1,0,1,10,1,1,1,3,4,3,0,2,3,3,3,3,2,2,2,4,8,8,1,2,1,0,0,1,10,0,1,10,2,0,4,1,0,0,31,0,22,4,0,0,1,1,1,1,1,2,2,41,0,32500,0,4120,3470,3470,19931,0.36
6,2,1,3,3,0,0,0,9,2,1,0,7,0,0,2,3,3,22,0,3,3,3,2,3,2,4,4,1,1,0,0,2,1,1,0,1,7,0,0,0,0,0,2,2,1,0,85.5,0,12,4,0,0,1,0,0,0,1,4,2,37,0,130000,0,2414,2414,0,4964,0.48
1,2,5,3,1,0,0,1,6,0,0,1,18,1,1,1,4,3,7,1,5,3,3,1,2,2,4,4,2,5,1,0,10,1,0,0,1,4,0,1,0,0,0,0,0,0,0,15.5,0,12,2,0,0,1,1,1,2,1,4,4,22.75,0,47500,0,1207,874,0,25292,0.62
8,1,0,3,2,0,0,1,6,4,0,1,5,1,1,1,1,3,3,0,2,3,3,4,2,1,2,4,0,0,0,0,2,0,0,0,1,5,0,1,5,1,0,4,1,0,0,13,0,7,4,0,0,1,1,1,0,2,4,1,85,1,12500,1,1328,1328,1328,8641,0.43
4,3,5,3,3,0,1,1,16,4,1,0,10,1,1,2,4,4,7,2,8,7,3,3,2,1,1,1,1,1,0,0,2,1,1,0,1,4,0,1,4,1,1,3,2,1,0,34.5,1,12,2,0,0,1,1,1,1,1,2,2,31,0,47500,0,2513,1664,1264,22172,0.5
8,3,5,3,2,0,0,1,3,2,0,1,5,1,1,1,3,4,7,1,2,3,3,4,2,2,4,8,1,5,0,0,6,1,0,0,1,7,0,1,7,3,0,4,3,0,0,5,0,12,4,0,0,1,1,1,0,2,2,1,56,1,37500,0,2118,2118,2118,10809,0.41
3,4,0,2,1,0,0,1,9,2,0,0,7,1,1,1,4,3,7,0,3,0,0,2,2,1,4,4,0,0,0,0,2,0,0,0,0,4,0,1,4,3,0,2,3,0,0,26,0,4,4,0,0,1,1,1,2,1,3,1,61,0,32500,0,797,797,797,12813,0.43
3,7,0,1,1,0,0,0,9,2,1,1,10,0,0,1,4,4,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,7,2,1,0,0,0,0,1,2,3,1,68,1,22500,0,756,756,189,4040,0.51
6,1,0,2,1,0,0,1,3,2,0,0,5,1,1,1,4,4,7,0,1,3,3,2,2,1,8,12,0,0,0,0,0,0,0,0,0,4,0,0,4,3,1,0,0,0,0,5,0,4,3,1,0,0,0,1,2,1,2,2,32.5,0,17500,1,955,955,955,3604,0.57
4,4,1,6,4,0,1,0,9,3,1,1,10,1,0,1,3,4,7,1,8,7,3,2,3,2,2,4,2,10,2,0,2,1,0,0,0,11,0,1,11,3,1,5,1,0,1,100,1,22,4,0,0,1,1,1,1,1,7,6,20.833333333333332,1,130000,0,4590,4190,4190,45182,0.39
5,2,5,3,2,1,1,1,6,4,1,0,7,1,0,2,4,4,3,1,8,7,3,2,3,2,4,4,8,10,10,10,2,1,0,0,0,5,1,0,5,3,1,2,2,0,0,106,0,22,3,1,0,1,0,1,1,1,2,2,57,0,130000,0,5117,1661,1661,23984,0.52
8,3,5,3,2,1,1,1,9,4,1,0,10,1,0,1,1,3,3,2,5,7,3,4,3,3,8,12,1,5,0,0,2,1,0,0,0,5,0,1,5,3,1,1,3,0,0,52.5,0,7,2,0,0,1,1,1,1,2,2,5,15.6,0,2000,1,4000,3600,3600,18905,0.5
5,1,0,0,1,0,0,1,1,4,0,0,5,1,1,1,4,3,22,0,0,0,0,1,1,3,12,12,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,4,2,0,0,1,1,1,0,1,2,1,67,1,17500,0,454,454,454,3958,0.32
1,7,0,0,1,0,0,0,1,0,0,0,7,0,0,1,4,3,12,0,0,0,0,1,1,2,4,4,1,2,0,0,2,1,0,0,1,1,0,0,0,0,0,2,3,1,0,31.5,0,4,3,1,0,0,0,0,1,1,5,1,57,0,17500,0,318,318,0,3370,0.6
4,3,5,4,2,1,1,0,6,2,1,1,10,0,1,3,3,4,3,1,8,3,3,3,3,1,2,2,1,2,0,0,2,1,0,0,0,9,1,0,9,2,0,3,2,1,0,10.5,1,22,4,1,0,0,0,0,0,1,5,2,63.5,1,87500,0,7696,3656,3656,17264,0.6
1,3,6,5,1,1,0,1,9,4,1,1,7,1,1,2,3,4,17,1,0,3,2,5,3,4,4,4,3,10,10,10,2,1,1,0,1,8,1,1,0,0,0,0,0,1,0,13,0,30,3,0,0,1,1,1,0,1,5,3,37.666666666666664,0,57500,0,3343,1980,0,11495,0.6
6,1,0,0,1,0,0,1,3,2,0,0,18,1,1,1,3,3,7,0,0,0,0,2,2,1,8,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,18.5,0,2,4,0,0,1,1,1,1,1,3,2,33.5,0,37500,0,458,458,458,3115,0.45
4,2,6,2,1,0,0,1,6,3,1,0,7,1,0,1,4,3,12,1,0,0,0,2,2,1,4,4,2,1,1,0,2,1,1,1,1,4,0,1,0,0,0,3,3,1,0,21,0,7,3,0,0,1,1,1,1,1,3,2,43,0,97500,0,957,957,239,19239,0.56
6,1,5,3,2,0,0,1,6,3,0,1,7,1,0,1,3,3,7,2,0,7,3,4,3,2,8,8,1,5,0,0,2,1,0,0,0,7,0,1,7,3,0,5,1,0,0,31.5,0,12,4,0,0,1,1,1,1,2,3,3,35,0,2000,1,1299,1299,1299,20605,0.41
3,1,0,2,1,0,0,1,3,3,0,0,5,1,1,1,4,3,7,0,0,0,0,2,2,1,2,2,1,1,0,0,0,1,0,0,1,4,1,0,0,0,0,2,2,0,0,5,0,7,4,1,0,0,0,1,0,1,2,1,42,0,22500,0,863,863,0,2205,0.58
4,1,0,0,1,0,0,1,3,3,1,0,5,1,0,1,4,3,2,0,0,0,0,1,1,1,1,1,1,2,0,0,0,1,0,0,1,1,1,1,0,0,0,1,2,0,0,22.5,0,2,4,0,0,1,1,1,1,1,5,1,36,0,32500,0,421,421,421,7927,0.52
5,7,3,3,1,0,0,1,1,3,0,1,7,1,1,1,4,4,7,0,0,3,0,2,2,2,8,8,1,8,0,0,2,1,0,0,0,5,0,1,5,2,1,2,2,0,0,21,1,7,3,0,0,1,1,1,0,1,2,3,52,1,32500,0,1012,1012,1012,11896,0.38
5,3,5,5,3,1,1,1,9,2,1,1,7,1,1,2,4,4,22,0,3,13,2,4,3,2,12,12,4,5,10,5,6,1,0,0,1,11,0,1,9,3,1,6,3,1,0,98,1,12,3,0,0,1,1,1,1,1,5,3,41,1,130000,0,3570,3170,1842,31100,0.47
5,3,5,4,2,1,1,1,9,3,1,1,10,1,1,2,5,4,3,0,5,3,3,4,2,1,2,4,2,2,2,0,2,1,0,0,1,9,1,0,9,2,1,2,2,0,1,5,1,18,4,1,0,0,0,1,0,1,5,2,54,0,130000,0,3456,2146,2146,9830,0.46
6,2,5,2,1,0,0,1,1,2,0,0,10,1,0,1,4,3,12,0,1,3,3,1,2,1,4,2,1,5,0,0,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,10.5,1,4,3,0,0,1,1,1,0,1,2,3,16.333333333333332,0,17500,1,854,641,214,10792,0.61
6,3,6,4,2,1,1,0,6,3,1,1,10,0,0,2,3,4,7,0,5,7,3,2,3,2,8,8,2,5,2,0,2,1,0,0,0,8,0,0,8,3,0,2,3,1,0,31.5,1,12,4,1,0,0,0,0,1,1,5,5,26,0,67500,0,2836,2436,2436,12232,0.56
8,1,5,5,4,1,1,0,6,3,0,1,10,0,0,2,3,5,2,1,5,7,3,3,3,2,4,4,3,2,2,2,2,1,0,0,1,9,0,0,9,1,1,4,2,0,0,0,1,22,4,1,0,0,0,0,1,4,5,5,41.4,0,130000,0,6560,4150,4150,16099,0.49
2,7,0,1,1,0,0,1,6,2,0,0,5,1,0,1,1,3,12,0,0,0,0,2,1,1,12,12,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,65,0,4,3,0,0,1,1,1,2,2,2,2,55.5,0,12500,1,450,450,150,4728,0.41
2,3,5,3,1,0,0,0,6,2,1,0,5,0,1,1,4,4,7,0,0,7,3,4,2,1,8,8,3,8,8,5,0,1,0,0,1,6,0,0,0,0,0,3,2,1,0,29,1,12,3,1,0,1,0,0,1,1,4,4,33.75,0,57500,0,1248,1248,1040,7016,0.56
5,2,3,3,1,1,1,1,6,4,1,0,7,1,0,1,4,4,3,1,0,3,0,1,1,1,1,1,0,0,0,0,2,0,1,0,0,4,0,1,0,0,0,1,1,0,0,25,0,12,4,0,0,1,1,1,0,1,2,1,71,1,22500,0,2300,1667,0,4631,0.63
