YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
3,1,5,3,3,0,1,0,1,3,1,0,10,0,0,1,3,4,12,1,1,3,3,2,2,2,4,4,2,2,1,0,1,0,0,1,0,7,0,0,7,1,1,7,2,1,0,13,1,12,4,1,0,0,0,0,0,1,6,2,65.5,1,67500,0,2442,2042,2042,8275,0.48
1,1,0,0,0,1,0,0,0,3,0,0,5,0,0,1,0,1,7,0,0,0,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,8,0,2,4,1,0,0,0,0,0,2,2,1,44,0,3750,1,100,100,0,1525,0.55
8,1,5,4,2,1,0,0,6,3,0,0,5,0,1,1,3,5,7,2,3,3,3,5,3,2,8,8,1,1,0,0,1,0,0,0,2,5,0,0,3,3,0,6,1,1,0,37,0,7,4,1,0,0,0,0,1,2,2,2,73,1,17500,1,1605,1605,963,13302,0.41
1,2,6,2,1,0,0,0,1,3,0,0,10,0,0,1,4,3,17,3,0,3,3,1,3,2,4,4,1,1,0,0,1,1,0,0,2,5,0,1,5,1,1,1,1,1,0,10.5,1,4,3,0,0,0,1,0,1,1,3,1,56,0,47500,0,3024,1260,1260,9871,0.52
6,3,5,4,2,1,0,1,3,4,0,0,10,1,1,1,4,3,7,1,0,3,3,4,2,1,8,4,1,2,0,0,1,1,0,1,0,8,0,1,8,3,0,4,1,1,0,8,1,7,3,0,0,1,1,1,0,2,3,3,45.66666667,1,82500,0,2025,2025,2025,33545,0.37
4,3,3,1,1,0,0,0,0,2,0,1,1,0,1,1,4,4,2,0,0,7,0,2,1,1,4,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,16,0,4,2,0,0,0,1,0,0,1,1,3,37.66666667,0,2000,1,442,0,0,3955,0.39
3,4,5,3,2,0,0,0,1,4,0,0,5,0,0,1,4,3,3,0,0,13,3,4,2,1,4,8,3,5,2,1,1,0,0,0,2,0,0,0,6,1,1,1,1,1,0,7.5,0,12,4,1,0,0,0,0,1,1,1,4,26.5,0,52500,0,2149,0,2149,7953,0.37
5,3,0,2,1,0,0,1,9,4,0,1,10,1,0,1,4,3,7,0,0,0,0,3,2,1,8,12,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,1,0,0,45,0,4,4,0,0,1,1,1,1,1,1,2,15.5,0,27500,0,818,818,205,3415,0.58
4,0,6,3,1,1,1,0,9,2,1,1,7,0,1,2,4,4,2,1,5,7,3,3,3,3,4,8,1,2,0,0,1,0,0,1,0,7,0,0,7,2,1,4,3,1,0,5,1,30,4,1,0,0,0,0,1,1,4,4,24.75,0,110000,0,4154,2638,2638,8617,0.61
6,3,5,3,2,0,1,0,1,3,0,0,7,0,0,1,4,2,2,0,0,1,3,1,2,2,4,4,0,0,0,0,0,0,0,0,0,4,0,1,4,3,0,1,1,0,0,8,1,12,3,0,0,0,1,0,0,1,1,1,70,1,17500,0,2592,864,864,7829,0.39
